timestamp TimeMS SV SP SH SMX SMY SMZ SVT OFN EFE FS DS
205.650 205650 16 12 13 6 5 4 0 0 0 0 0
205.670 205670 16 12 13 6 5 4 0 0 0 0 0
205.690 205690 16 12 21 5 5 4 0 0 0 0 0
205.710 205710 16 12 21 5 0 4 0 0 0 0 0
205.730 205730 16 12 21 5 0 0 0 0 0 0 0
205.750 205750 16 12 21 5 0 0 0 0 0 0 0
205.770 205770 16 12 21 5 0 0 0 0 0 0 0
205.791 205791 16 12 10 12 0 0 0 0 0 0 0
205.811 205811 16 12 10 12 3 0 0 0 0 0 0
205.831 205831 16 12 10 12 3 7 0 0 0 0 0
205.851 205851 13 8 10 12 3 7 0 0 0 0 0
205.871 205871 13 8 10 12 3 7 0 0 0 0 0
205.891 205891 13 8 11 3 3 7 0 0 0 0 0
205.911 205911 13 8 11 3 2 7 0 0 0 0 0
205.931 205931 13 8 11 3 2 3 0 0 0 0 0
205.951 205951 13 8 11 3 2 3 0 0 0 0 0
205.971 205971 13 8 11 3 2 3 0 0 0 0 0
205.992 205992 13 8 8 2 2 3 0 0 0 0 0
206.012 206012 13 8 8 2 4 3 0 0 0 0 0
206.032 206032 13 8 8 2 4 10 0 0 0 0 0
206.052 206052 14 5 8 2 4 10 0 0 0 0 0
206.072 206072 14 5 8 2 4 10 0 0 0 0 0
206.092 206092 14 5 23 6 4 10 0 0 0 0 0
206.112 206112 14 5 23 6 2 10 0 0 0 0 0
206.132 206132 14 5 23 6 2 4 0 0 0 0 0
206.152 206152 14 5 23 6 2 4 0 0 0 0 0
206.172 206172 14 5 23 6 2 4 0 0 0 0 0
206.192 206192 14 5 9 2 2 4 0 0 0 0 0
206.212 206212 14 5 9 2 2 4 0 0 0 0 0
206.232 206232 14 5 9 2 2 13 0 0 0 0 0
206.252 206252 13 5 9 2 2 13 0 0 0 0 0
206.272 206272 13 5 9 2 2 13 0 0 0 0 0
206.292 206292 13 5 9 0 2 13 0 0 0 0 0
206.313 206313 13 5 9 0 6 13 0 0 0 0 0
206.333 206333 13 5 9 0 6 6 0 0 0 0 0
206.353 206353 13 5 9 0 6 6 0 0 0 0 0
206.373 206373 13 5 9 0 6 6 0 0 0 0 0
206.393 206393 13 5 8 6 6 6 0 0 0 0 0
206.413 206413 13 5 8 6 5 6 0 0 0 0 0
206.433 206433 13 5 8 6 5 13 0 0 0 0 0
206.453 206453 12 5 8 6 5 13 0 0 0 0 0
206.473 206473 12 5 8 6 5 13 0 0 0 0 0
206.493 206493 12 5 20 1 5 13 0 0 0 0 0
206.513 206513 12 5 20 1 7 13 0 0 0 0 0
206.533 206533 12 5 20 1 7 13 0 0 0 0 0
206.553 206553 12 5 20 1 7 13 0 0 0 0 0
206.573 206573 12 5 20 1 7 13 0 0 0 0 0
206.593 206593 12 5 15 7 7 13 0 0 0 0 0
206.614 206614 12 5 15 7 2 13 0 0 0 0 0
206.634 206634 12 5 15 7 2 6 0 0 0 0 0
206.654 206654 17 6 15 7 2 6 0 0 0 0 0
206.674 206674 17 6 15 7 2 6 0 0 0 0 0
206.694 206694 17 6 39 2 2 6 0 0 0 0 0
206.714 206714 17 6 39 2 3 6 0 0 0 0 0
206.734 206734 17 6 39 2 3 7 0 0 0 0 0
206.754 206754 17 6 39 2 3 7 0 0 0 0 0
206.774 206774 17 6 39 2 3 7 0 0 0 0 0
206.794 206794 17 6 11 2 3 7 0 0 0 0 0
206.815 206815 17 6 11 2 3 7 0 0 0 0 0
206.834 206834 17 6 11 2 3 8 0 0 0 0 0
206.855 206855 31 7 11 2 3 8 0 0 0 0 0
206.875 206875 31 7 11 2 3 8 0 0 0 0 0
206.895 206895 31 7 20 9 3 8 0 0 0 0 0
206.915 206915 31 7 20 9 4 8 0 0 0 0 0
206.935 206935 31 7 20 9 4 3 0 0 0 0 0
206.955 206955 31 7 20 9 4 3 0 0 0 0 0
